DostawaId,DostawaId,Kod,Ilosc,Data,DataUtworzenia,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted,VTMagazynId,VTMagazynId,NumerKompletu,SztukiZeskanowane,SztukiDeklarowane,ZeskanowanychNaKomplet,NaKomplet,Wiazka,KodCiety,Pracownik,DokDostawy,DataUtworzenia,DataDostawy,Komplet,Deklarowany,autocompleteEnabled,wymuszonaIlosc,DataDopisu,DopisanaIlosc,DostawaDopis,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted
e22ad20b-563a-482f-82c9-08d8433e8fca,e22ad20b-563a-482f-82c9-08d8433e8fca,PLCAEB21211,14,08/18/2020 00:00:00,08/18/2020 08:18:48,,,,,,,,,,,False,,,,False,aa7706e9-2ad7-4297-942a-08d8434f7ded,aa7706e9-2ad7-4297-942a-08d8434f7ded,0,14,14,18,18,23419162A,AEB21211,filonowicz,49734886,08/18/2020 10:30:22,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
16add348-86af-4981-82f0-08d8433e8fca,16add348-86af-4981-82f0-08d8433e8fca,PLCAEB22211,44,08/18/2020 00:00:00,08/18/2020 08:18:49,,,,,,,,,,,False,,,,False,eb03f4e5-41a3-44dd-942b-08d8434f7ded,eb03f4e5-41a3-44dd-942b-08d8434f7ded,0,44,44,16,16,23419117A,AEB22211,filonowicz,49734886,08/18/2020 10:30:25,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
54b73c0c-35ba-42e3-8295-08d8433e8fca,54b73c0c-35ba-42e3-8295-08d8433e8fca,PLCAEB19111,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False,90ebcc0d-4048-4933-942c-08d8434f7ded,90ebcc0d-4048-4933-942c-08d8434f7ded,0,4,4,18,18,23419104A,AEB19111,filonowicz,49734886,08/18/2020 10:30:29,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
28534145-e91a-41fd-8288-08d8433e8fca,28534145-e91a-41fd-8288-08d8433e8fca,PLCAEB18311,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False,06b38444-adb7-46e1-942d-08d8434f7ded,06b38444-adb7-46e1-942d-08d8434f7ded,0,3,3,18,18,23419093A,AEB18311,filonowicz,49734886,08/18/2020 10:30:31,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
756b27d7-a607-4ec2-82af-08d8433e8fca,756b27d7-a607-4ec2-82af-08d8433e8fca,PLCAEB20911,35,08/18/2020 00:00:00,08/18/2020 08:18:48,,,,,,,,,,,False,,,,False,8aa4c03d-4d6f-4ffa-942e-08d8434f7ded,8aa4c03d-4d6f-4ffa-942e-08d8434f7ded,0,35,35,18,18,23419128A,AEB20911,filonowicz,49734886,08/18/2020 10:30:33,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
21ee1c78-df0f-40ad-82d6-08d8433e8fca,21ee1c78-df0f-40ad-82d6-08d8433e8fca,PLCAEB21511,10,08/18/2020 00:00:00,08/18/2020 08:18:49,,,,,,,,,,,False,,,,False,240162c2-eebd-4c3a-942f-08d8434f7ded,240162c2-eebd-4c3a-942f-08d8434f7ded,0,10,10,18,18,23419165A,AEB21511,filonowicz,49734886,08/18/2020 10:30:35,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
79144556-3ab0-405f-827c-08d8433e8fca,79144556-3ab0-405f-827c-08d8433e8fca,PLCAEB18011,18,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False,f7aadbcd-17f2-4aaa-9430-08d8434f7ded,f7aadbcd-17f2-4aaa-9430-08d8434f7ded,0,18,18,16,16,23419089A,AEB18011,filonowicz,49734886,08/18/2020 10:33:26,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
b7f958e0-e472-4024-8233-08d8433e8fca,b7f958e0-e472-4024-8233-08d8433e8fca,PLCAEB07411,4,08/18/2020 00:00:00,08/18/2020 08:18:45,,,,,,,,,,,False,,,,False,4005c8c3-22c4-4720-9431-08d8434f7ded,4005c8c3-22c4-4720-9431-08d8434f7ded,0,4,4,18,18,22707378A,AEB07411,filonowicz,49734886,08/18/2020 10:33:34,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
f5472f0d-930b-480a-82df-08d8433e8fca,f5472f0d-930b-480a-82df-08d8433e8fca,PLCAEB21906,11,08/18/2020 00:00:00,08/18/2020 08:18:49,,,,,,,,,,,False,,,,False,42914422-37d1-4ac4-9432-08d8434f7ded,42914422-37d1-4ac4-9432-08d8434f7ded,0,11,11,18,18,23419170A,AEB21906,filonowicz,49734886,08/18/2020 10:33:48,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
38bb81c7-4dde-4fa7-8240-08d8433e8fca,38bb81c7-4dde-4fa7-8240-08d8433e8fca,PLCAEB13111,26,08/18/2020 00:00:00,08/18/2020 08:18:45,,,,,,,,,,,False,,,,False,e09378ea-12ae-40d5-9433-08d8434f7ded,e09378ea-12ae-40d5-9433-08d8434f7ded,0,26,26,16,16,23419129A,AEB13111,filonowicz,49734886,08/18/2020 10:34:05,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
753557f1-ad4a-44e4-8258-08d8433e8fca,753557f1-ad4a-44e4-8258-08d8433e8fca,PLCAEB17411,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False,2e2a4164-652e-4de1-9434-08d8434f7ded,2e2a4164-652e-4de1-9434-08d8434f7ded,0,11,11,16,16,23419082A,AEB17411,filonowicz,49734886,08/18/2020 10:34:11,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
65949d9b-1322-4e72-829e-08d8433e8fca,65949d9b-1322-4e72-829e-08d8433e8fca,PLCAEB19406,21,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False,18423613-b179-452f-9435-08d8434f7ded,18423613-b179-452f-9435-08d8434f7ded,0,21,21,18,18,23419111A,AEB19406,filonowicz,49734886,08/18/2020 10:34:14,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
91a09ef5-9207-49b0-824c-08d8433e8fca,91a09ef5-9207-49b0-824c-08d8433e8fca,PLCAEB16011,14,08/18/2020 00:00:00,08/18/2020 08:18:45,,,,,,,,,,,False,,,,False,85129441-a57c-4cdd-9436-08d8434f7ded,85129441-a57c-4cdd-9436-08d8434f7ded,0,14,14,16,16,23419008A,AEB16011,filonowicz,49734886,08/18/2020 10:34:20,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
e55ee8b0-fbd5-4e49-8338-08d8433e8fca,e55ee8b0-fbd5-4e49-8338-08d8433e8fca,PLCSEB21016,112,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,045bc2e2-90ac-4b97-9437-08d8434f7ded,045bc2e2-90ac-4b97-9437-08d8434f7ded,0,112,112,18,18,23419160A,SEB21016,filonowicz,49734886,08/18/2020 10:37:06,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
3c5d1ff6-b145-4fef-8339-08d8433e8fca,3c5d1ff6-b145-4fef-8339-08d8433e8fca,PLCSEB21216,14,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,200cc819-636c-4332-9438-08d8434f7ded,200cc819-636c-4332-9438-08d8434f7ded,0,14,14,18,18,23419162A,SEB21216,filonowicz,49734886,08/18/2020 10:37:16,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
7a0e9bfa-d173-48a9-8337-08d8433e8fca,7a0e9bfa-d173-48a9-8337-08d8433e8fca,PLCSEB20916,35,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,124f78c3-03a7-45bd-9439-08d8434f7ded,124f78c3-03a7-45bd-9439-08d8434f7ded,0,35,35,18,18,23419128A,SEB20916,filonowicz,49734886,08/18/2020 10:37:34,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
1597c497-b690-4f1c-833b-08d8433e8fca,1597c497-b690-4f1c-833b-08d8433e8fca,PLCSEB21916,11,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,0e0c551d-b80c-43d7-943a-08d8434f7ded,0e0c551d-b80c-43d7-943a-08d8434f7ded,0,11,11,18,18,23419170A,SEB21916,filonowicz,49734886,08/18/2020 10:37:46,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
b34451d9-1002-4928-8336-08d8433e8fca,b34451d9-1002-4928-8336-08d8433e8fca,PLCSEB19416,21,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,25022c0c-61f4-4652-943b-08d8434f7ded,25022c0c-61f4-4652-943b-08d8434f7ded,0,21,21,18,18,23419111A,SEB19416,filonowicz,49734886,08/18/2020 10:38:04,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
a55d07fd-2db8-4525-833c-08d8433e8fca,a55d07fd-2db8-4525-833c-08d8433e8fca,PLCSEB22216,44,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,71b9ca69-3360-4a8f-943c-08d8434f7ded,71b9ca69-3360-4a8f-943c-08d8434f7ded,0,44,44,16,16,23419117A,SEB22216,filonowicz,49734886,08/18/2020 10:38:13,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
6938cfab-bee8-4755-82e7-08d8433e8fca,6938cfab-bee8-4755-82e7-08d8433e8fca,PLCAEB21921,11,08/18/2020 00:00:00,08/18/2020 08:18:49,,,,,,,,,,,False,,,,False,84ef7b1b-1cef-4569-943d-08d8434f7ded,84ef7b1b-1cef-4569-943d-08d8434f7ded,0,11,11,18,18,23419170A,AEB21921,filonowicz,49734886,08/18/2020 10:38:21,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
ffdeea39-a1db-40f9-832d-08d8433e8fca,ffdeea39-a1db-40f9-832d-08d8433e8fca,PLCSEB07416,4,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,b079cee5-e26a-4ebd-943e-08d8434f7ded,b079cee5-e26a-4ebd-943e-08d8434f7ded,0,4,4,18,18,22707378A,SEB07416,filonowicz,49734886,08/18/2020 10:38:28,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
7e006345-c6d1-45ce-8330-08d8433e8fca,7e006345-c6d1-45ce-8330-08d8433e8fca,PLCSEB17416,11,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,96e98f98-ddb4-4e7f-943f-08d8434f7ded,96e98f98-ddb4-4e7f-943f-08d8434f7ded,0,11,11,16,16,23419082A,SEB17416,filonowicz,49734886,08/18/2020 10:38:40,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
