VTMagazynId,NumerKompletu,SztukiZeskanowane,SztukiDeklarowane,ZeskanowanychNaKomplet,NaKomplet,Wiazka,KodCiety,Pracownik,DokDostawy,DataUtworzenia,DataDostawy,Komplet,Deklarowany,autocompleteEnabled,wymuszonaIlosc,DataDopisu,DopisanaIlosc,DostawaDopis,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted
124f78c3-03a7-45bd-9439-08d8434f7ded,0,35,35,18,18,23419128A,SEB20916,filonowicz,49734886,08/18/2020 10:37:34,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
0e0c551d-b80c-43d7-943a-08d8434f7ded,0,11,11,18,18,23419170A,SEB21916,filonowicz,49734886,08/18/2020 10:37:46,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
25022c0c-61f4-4652-943b-08d8434f7ded,0,21,21,18,18,23419111A,SEB19416,filonowicz,49734886,08/18/2020 10:38:04,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
71b9ca69-3360-4a8f-943c-08d8434f7ded,0,44,44,16,16,23419117A,SEB22216,filonowicz,49734886,08/18/2020 10:38:13,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
84ef7b1b-1cef-4569-943d-08d8434f7ded,0,11,11,18,18,23419170A,AEB21921,filonowicz,49734886,08/18/2020 10:38:21,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
b079cee5-e26a-4ebd-943e-08d8434f7ded,0,4,4,18,18,22707378A,SEB07416,filonowicz,49734886,08/18/2020 10:38:28,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
96e98f98-ddb4-4e7f-943f-08d8434f7ded,0,11,11,16,16,23419082A,SEB17416,filonowicz,49734886,08/18/2020 10:38:40,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
872bc363-805c-40a8-9440-08d8434f7ded,0,20,20,16,16,23419087A,SEB17916,filonowicz,49734886,08/18/2020 10:38:53,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
15d9ec14-ef58-4c6b-9441-08d8434f7ded,0,10,10,18,18,23419165A,AEB21521,filonowicz,49734886,08/18/2020 10:39:05,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
ed26b649-aadc-406f-9442-08d8434f7ded,0,3,3,18,18,23419093A,SEB18316,filonowicz,49734886,08/18/2020 10:39:14,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
fd7c20a3-17d8-4ef7-9443-08d8434f7ded,0,4,4,18,18,23419104A,SEB19116,filonowicz,49734886,08/18/2020 10:39:21,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
6669f91a-7e30-4248-9444-08d8434f7ded,0,26,26,16,16,23419129A,SEB13116,filonowicz,49734886,08/18/2020 10:39:27,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
234c182b-c6b2-4940-9445-08d8434f7ded,0,14,14,16,16,23419008A,SEB16016,filonowicz,49734886,08/18/2020 10:39:32,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
c740ba73-c12e-44fb-9446-08d8434f7ded,0,15,15,16,16,23419086A,SEB17816,filonowicz,49734886,08/18/2020 10:39:37,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
0d82b9d9-d3fb-4e44-9447-08d8434f7ded,0,18,18,16,16,23419089A,SEB18016,filonowicz,49734886,08/18/2020 10:39:47,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
d0fcf35f-eaf4-425c-9448-08d8434f7ded,0,112,112,18,18,23419160A,AEB21021,filonowicz,49734886,08/18/2020 10:39:55,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
81514212-519a-4353-9449-08d8434f7ded,0,14,14,18,18,23419162A,AEB21221,filonowicz,49734886,08/18/2020 10:40:00,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
a89e4173-bbd1-46e8-944a-08d8434f7ded,0,44,44,16,16,23419117A,AEB22221,filonowicz,49734886,08/18/2020 10:40:07,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
bb2c8265-91e5-4aaf-944b-08d8434f7ded,0,14,14,16,16,23419008A,AEB16021,filonowicz,49734886,08/18/2020 10:40:13,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
d612ab3b-4f28-4a01-944c-08d8434f7ded,0,18,18,16,16,23419089A,AEB18021,filonowicz,49734886,08/18/2020 10:40:20,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
d8ff2652-3ace-47f4-944d-08d8434f7ded,0,3,3,18,18,23419093A,AEB18321,filonowicz,49734886,08/18/2020 10:40:31,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
523ae021-4f15-4c19-944e-08d8434f7ded,0,4,4,18,18,23419104A,AEB19121,filonowicz,49734886,08/18/2020 10:40:43,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
556bc78f-7b05-4665-944f-08d8434f7ded,0,21,21,18,18,23419111A,AEB19421,filonowicz,49734886,08/18/2020 10:40:49,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
756149a2-cf4e-4510-9450-08d8434f7ded,0,35,35,18,18,23419128A,AEB20921,filonowicz,49734886,08/18/2020 10:40:54,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
1dd4bb02-26b1-40f8-9451-08d8434f7ded,0,26,26,16,16,23419129A,AEB13121,filonowicz,49734886,08/18/2020 10:41:00,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
863a85b0-20b8-496e-9452-08d8434f7ded,0,11,11,16,16,23419082A,AEB17421,filonowicz,49734886,08/18/2020 10:41:08,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
a9788455-3da9-4249-9453-08d8434f7ded,0,15,15,16,16,23419086A,AEB17821,filonowicz,49734886,08/18/2020 10:41:17,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
383873a9-c504-4a52-9454-08d8434f7ded,0,10,10,18,18,23419165A,SEB21516,filonowicz,49734886,08/18/2020 10:41:38,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
283378b8-d7ea-428a-9455-08d8434f7ded,0,20,20,16,16,23419087A,AEB17921,filonowicz,49734886,08/18/2020 10:41:44,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
b95a1764-3a2b-4f0b-9456-08d8434f7ded,0,11,11,18,18,23419170A,AEB21920,filonowicz,49734886,08/18/2020 10:41:49,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
01b9e8ab-99a9-4c72-9457-08d8434f7ded,0,10,10,18,18,23419165A,AEB21520,filonowicz,49734886,08/18/2020 10:41:56,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
16a43a5e-0b79-4c56-9458-08d8434f7ded,0,112,112,18,18,23419160A,AEB21013,filonowicz,49734886,08/18/2020 10:42:49,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
5a59f058-b95b-413d-9459-08d8434f7ded,0,11,11,18,18,23419170A,AEB21912,filonowicz,49734886,08/18/2020 10:42:56,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
