DostawaId,Kod,Ilosc,Data,DataUtworzenia,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted
c7487771-242b-4ad8-8251-08d8433e8fca,PLCAEB17403,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
5860db44-72a1-4e03-8252-08d8433e8fca,PLCAEB17404,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
7c507cc5-96be-478e-8253-08d8433e8fca,PLCAEB17405,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
e5029dd7-f2a9-477e-8254-08d8433e8fca,PLCAEB17406,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
e239d4de-d302-494b-8255-08d8433e8fca,PLCAEB17408,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
72759aea-c23e-497a-8256-08d8433e8fca,PLCAEB17409,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
b6624b11-01ed-4a47-8257-08d8433e8fca,PLCAEB17410,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
753557f1-ad4a-44e4-8258-08d8433e8fca,PLCAEB17411,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
2a35bc99-b531-492d-8259-08d8433e8fca,PLCAEB17412,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
d74880f0-1c15-400f-825a-08d8433e8fca,PLCAEB17413,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
c3ca5131-c163-43e9-825b-08d8433e8fca,PLCAEB17421,11,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
8af1fc0b-4119-4c4d-825c-08d8433e8fca,PLCAEB17802,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
719dab84-20cc-4925-825d-08d8433e8fca,PLCAEB17803,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
073a615d-d587-4127-825e-08d8433e8fca,PLCAEB17804,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
a4c8677e-0110-4d18-825f-08d8433e8fca,PLCAEB17805,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
9589a618-9151-49a6-8260-08d8433e8fca,PLCAEB17806,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
f39c180b-1a33-4aea-8261-08d8433e8fca,PLCAEB17808,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
d15062b1-1f8b-4111-8262-08d8433e8fca,PLCAEB17809,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
75547f36-8275-4e9a-8263-08d8433e8fca,PLCAEB17810,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
ab8a7ff4-905c-445f-8264-08d8433e8fca,PLCAEB17811,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
0c6a678c-8aa7-40f2-8265-08d8433e8fca,PLCAEB17812,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
8d98c155-3471-4727-8266-08d8433e8fca,PLCAEB17813,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
e4ffec87-61f7-4189-8267-08d8433e8fca,PLCAEB17821,15,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
7a7bf123-1d4c-4edc-8268-08d8433e8fca,PLCAEB17902,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
1ca3bbc0-4af2-4345-8269-08d8433e8fca,PLCAEB17903,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
1597b96e-96f6-423b-826a-08d8433e8fca,PLCAEB17904,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
7da2b05a-bae4-4ec4-826b-08d8433e8fca,PLCAEB17905,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
91311910-ef17-406d-826c-08d8433e8fca,PLCAEB17906,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
b7993071-e360-4b91-826d-08d8433e8fca,PLCAEB17908,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
41f50a51-75ca-421b-826e-08d8433e8fca,PLCAEB17909,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
dc87fca6-ab38-4b93-826f-08d8433e8fca,PLCAEB17910,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
0075f6e2-2d92-4e6c-8270-08d8433e8fca,PLCAEB17911,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
76e6e156-6a6f-44a0-8271-08d8433e8fca,PLCAEB17912,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
1836bf82-8a9b-4e81-8272-08d8433e8fca,PLCAEB17913,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
e4776ec1-9798-47a3-8273-08d8433e8fca,PLCAEB17921,20,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
8a0abb0f-d6fd-43fc-8274-08d8433e8fca,PLCAEB18002,18,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
0204f086-ca4a-411f-8275-08d8433e8fca,PLCAEB18003,18,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
5d2fd987-16ac-4ffa-8276-08d8433e8fca,PLCAEB18004,18,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
5e66c4ff-270a-4f48-8277-08d8433e8fca,PLCAEB18005,18,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
3ff40887-5d50-48d3-8278-08d8433e8fca,PLCAEB18006,18,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
0806a9ef-f6aa-49ba-8279-08d8433e8fca,PLCAEB18008,18,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
fb7f4ebf-de23-460c-827a-08d8433e8fca,PLCAEB18009,18,08/18/2020 00:00:00,08/18/2020 08:18:46,,,,,,,,,,,False,,,,False
5d956560-593f-482e-827b-08d8433e8fca,PLCAEB18010,18,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
79144556-3ab0-405f-827c-08d8433e8fca,PLCAEB18011,18,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
82819888-d43e-40ff-827d-08d8433e8fca,PLCAEB18012,18,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
74b9556f-954f-4e5a-827e-08d8433e8fca,PLCAEB18013,18,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
079872ea-979d-464d-827f-08d8433e8fca,PLCAEB18021,18,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
b24e93f9-e28e-4a87-8280-08d8433e8fca,PLCAEB18302,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
deeffefc-5d24-400f-8281-08d8433e8fca,PLCAEB18303,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
ac832b49-bc3a-4259-8282-08d8433e8fca,PLCAEB18304,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
5a7d6939-a98f-4f16-8283-08d8433e8fca,PLCAEB18305,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
84a06dba-0296-4d59-8284-08d8433e8fca,PLCAEB18306,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
6ef217e2-eb86-4438-8285-08d8433e8fca,PLCAEB18308,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
21732c1c-3a7c-4364-8286-08d8433e8fca,PLCAEB18309,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
2114f561-7654-4ff9-8287-08d8433e8fca,PLCAEB18310,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
